model_id,model_family,model_size,benchmark,benchmark_variant,score_raw,score_normalized_0_100,metric_name,source_url,source_type,source_priority,notes
Gemma-3-IT-12B,Gemma,12B,AI2D,reported,84.2,84.2,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,ChartQA,reported,75.7,75.7,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,DocVQA,reported,87.1,87.1,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,InfoVQA,reported,64.9,64.9,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,MMMU,val_or_pt,59.6,59.6,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,MathVista,testmini,62.9,62.9,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,TextVQA,reported,67.7,67.7,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-12B,Gemma,12B,VQAv2,val,71.6,71.6,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-27B,Gemma,27B,AI2D,reported,84.5,84.5,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-27B,Gemma,27B,ChartQA,reported,78.0,78.0,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-27B,Gemma,27B,DocVQA,reported,86.6,86.6,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
Gemma-3-IT-27B,Gemma,27B,InfoVQA,reported,70.6,70.6,accuracy_or_score_percent,https://ai.google.dev/gemma/docs/core/model_card_3,official_model_card,1,Official Gemma 3 model card multimodal benchmark table. Normalization: kept as reported percentage/score
