model_id,provider,weight_class,modality,benchmark,score,setting,source_url,source_type,source_note
GPT-5.5,OpenAI,closed,multimodal,OSWorld-Verified,78.7,no_tools,https://openai.com/index/introducing-gpt-5-5/,official_model_release,"OpenAI GPT-5.5 launch page, computer use and vision table."
GPT-5.5,OpenAI,closed,multimodal,MMMU-Pro,81.2,no_tools,https://openai.com/index/introducing-gpt-5-5/,official_model_release,"OpenAI GPT-5.5 launch page, computer use and vision table."
GPT-5.5,OpenAI,closed,multimodal,MMMU-Pro,83.2,with_tools,https://openai.com/index/introducing-gpt-5-5/,official_model_release,"OpenAI GPT-5.5 launch page, computer use and vision table."
GPT-5.5,OpenAI,closed,multimodal,CharXiv,84.1,no_tools,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
GPT-5.5,OpenAI,closed,multimodal,Blueprint-Bench 2,36.2,normalized,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
Claude-Opus-4.7,Anthropic,closed,multimodal,OSWorld-Verified,78.0,no_tools,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
Claude-Opus-4.7,Anthropic,closed,multimodal,MMMU-Pro,75.2,no_tools,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
Claude-Opus-4.7,Anthropic,closed,multimodal,CharXiv,82.1,no_tools,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
Claude-Opus-4.7,Anthropic,closed,multimodal,Blueprint-Bench 2,24.5,normalized,https://deepmind.google/models/gemini/,official_competitor_comparison,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.5-Flash,Google DeepMind,closed,multimodal,OSWorld-Verified,78.4,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.5-Flash,Google DeepMind,closed,multimodal,MMMU-Pro,83.6,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.5-Flash,Google DeepMind,closed,multimodal,CharXiv,84.2,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.5-Flash,Google DeepMind,closed,multimodal,Blueprint-Bench 2,33.6,normalized,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.1-Pro,Google DeepMind,closed,multimodal,OSWorld-Verified,76.2,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.1-Pro,Google DeepMind,closed,multimodal,MMMU-Pro,80.5,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.1-Pro,Google DeepMind,closed,multimodal,CharXiv,83.3,no_tools,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Gemini-3.1-Pro,Google DeepMind,closed,multimodal,Blueprint-Bench 2,26.5,normalized,https://deepmind.google/models/gemini/,official_model_release,"Google DeepMind Gemini 3.5 performance table."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,OSWorld-Verified,73.1,no_tools,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,MMMU-Pro,79.4,no_tools,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,MMMU-Pro,80.1,with_python,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,CharXiv,80.4,no_tools,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,CharXiv,86.7,with_python,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,MathVision,87.4,no_tools,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,MathVision,93.2,with_python,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Kimi-K2.6,Moonshot AI,open-weight,multimodal,BabyVision,39.8,no_tools,https://huggingface.co/moonshotai/Kimi-K2.6,official_model_card,"Moonshot AI Hugging Face model card."
Qwen3.6-35B-A3B,Qwen,open-weight,multimodal,MMMU,81.7,no_tools,https://huggingface.co/Qwen/Qwen3.6-35B-A3B,official_model_card,"Qwen Hugging Face model card."
